Unnamed: 0,ns,title,pageid,size,wordcount,snippet,timestamp,query_string,category,jac,lev
0,14.0,Category:Axioms of set theory,3439807.0,371.0,50.0,"This category is for axioms in the <span class=""searchmatch"">language</span> <span class=""searchmatch"">of</span> set <span class=""searchmatch"">theory</span>; roughly speaking, ones that &quot;talk about sets&quot;. Inclusion in this category does not necessarily",2013-03-28T06:50:55Z,theory of language,Axioms of set theory,0.5384615384615384,15
2,14.0,Category:Theories of language,22337303.0,120.0,0.0,"(Definite description) Unilalianism Verification <span class=""searchmatch"">theory</span> Concepts Ambiguity Cant Linguistic relativity <span class=""searchmatch"">Language</span> Truth-bearer Proposition Use–mention distinction",2017-11-16T16:13:15Z,theory of language,Theories of language,0.19047619047619047,4
3,14.0,Category:Philosophy of language,744038.0,730.0,73.0,"Philosophy <span class=""searchmatch"">of</span> <span class=""searchmatch"">language</span> is the branch <span class=""searchmatch"">of</span> philosophy that studies <span class=""searchmatch"">language</span>. Its primary concerns include the nature <span class=""searchmatch"">of</span> linguistic meaning, reference, <span class=""searchmatch"">language</span> use",2020-04-25T17:59:38Z,theory of language,Philosophy of language,0.4,7
5,14.0,Category:Programming languages conferences,27677783.0,216.0,14.0,"Academic conferences in the fields <span class=""searchmatch"">of</span> programming <span class=""searchmatch"">languages</span>, programming <span class=""searchmatch"">language</span> <span class=""searchmatch"">theory</span>, and compiler design.",2015-03-31T16:15:43Z,theory of language,Programming languages conferences,0.5833333333333333,23
0,14.0,Category:Logic literature,22410600.0,232.0,4.0,"Philosophy portal <span class=""searchmatch"">Literature</span> portal",2019-09-09T05:59:48Z,theory of literature,Logic literature,0.5,8
2,14.0,Category:Ethics literature,6283119.0,227.0,2.0,"<span class=""searchmatch"">Literature</span> portal",2019-08-03T18:29:53Z,theory of literature,Ethics literature,0.3913043478260869,8
3,14.0,Category:Epistemology literature,13083243.0,221.0,2.0,"<span class=""searchmatch"">Literature</span> portal",2019-07-19T21:12:50Z,theory of literature,Epistemology literature,0.40740740740740744,11
4,14.0,Category:Literary criticism,733855.0,671.0,62.0,"interpretation <span class=""searchmatch"">of</span> <span class=""searchmatch"">literature</span>. Modern literary criticism is often influenced by literary <span class=""searchmatch"">theory</span>, which is the philosophical discussion <span class=""searchmatch"">of</span> <span class=""searchmatch"">literature</span>'s goals and",2021-01-05T12:52:22Z,theory of literature,Literary criticism,0.5925925925925926,16
5,14.0,Category:Postmodern theory,704758.0,972.0,82.0,"as an ambiguous overarching term for skeptical interpretations <span class=""searchmatch"">of</span> culture, <span class=""searchmatch"">literature</span>, art, philosophy, economics, architecture, fiction, and literary",2021-01-08T11:16:04Z,theory of literature,Postmodern theory,0.5769230769230769,17
7,14.0,Category:Essays about literature,33685929.0,200.0,3.0,"Essays about <span class=""searchmatch"">literature</span>.",2018-07-09T08:12:59Z,theory of literature,Essays about literature,0.40740740740740744,10
