volid,dateused,pubdate,birthdate,firstpub,gender,nation,allwords,logistic,realclass,trainflag,author,title,genretags
uc2.ark+=13960=t70v8bj6k,1922,1922,0,1922,m,,15.526054490139002,0.44502258160109565,1,1,"French, Joseph Lewis,",Masterpieces of mystery,locdetmyst | teamblack | locghost
nyp.33433074866413,1898,1908,1865,1898,m,uk,14.281603356743275,0.11120306775549109,0,1,"Kipling, Rudyard,",The day's work,random | teamred
20352,1958,1958,1932,1958,m,us,14.059487289403368,0.19111738738008538,0,1,"Updike, John,",The poorhouse fair,chirandom | teamblack
njp.32101032308387,1832,1881,1803,1832,m,uk,20.788509900006872,0.1700840976132249,1,1,"Lytton, Edward Bulwer Lyt",Eugene Aram,newgate | teamred
uva.x000674483,1888,1888,1851,1888,f,uk,15.037266330566567,0.13288470745871825,0,1,"Ward, Humphry,",Robert Elsmere,random | teamblack
20839,1969,1969,1918,1969,f,us,10.682331828286491,0.9612303384451819,1,1,"Nielsen, Helen,",Darkest hour,teamred | stew | chimyst
10911,1948,1948,0,1948,m,us,12.101839737036792,0.7010686112542965,1,1,"Queen, Ellery,",Ten days' wonder,teamblack | stew | cozy | chimyst | det100 | chirandom
inu.30000007703436,1894,1922,1859,1894,m,other,13.761148705169953,0.9352154014845152,1,1,"Doyle, Arthur Conan,",Memoirs of Sherlock Holme,locdetmyst | teamblack
nyp.33433074945779,1866,1873,1824,1866,m,uk,14.19549738055426,0.7079086886419234,1,1,"Collins, Wilkie,",Armadale,pbgothic | teamred | sensation | stew
nyp.33433074863782,1848,1859,1824,1848,f,uk,18.922021729609245,0.12865251053805693,0,1,"Kavanagh, Julia,",Madeleine,random | teamblack
4748,1922,1922,1877,1922,m,us,12.433058680333959,0.1208365669603375,0,1,"Traprock, Walter E.",My northern exposure,chirandom | teamblack
25606,1995,1995,1942,1995,f,us,22.286719219616305,0.07742570529292585,0,1,"Reich, Tova,",The Jewish war,chirandom
21845,1981,1981,1940,1981,m,us,10.532299168700662,0.7770685896549163,1,1,"Harris, Thomas",Red dragon,pbgothic | teamred | chimyst
21851,1981,1981,1934,1981,m,us,12.252573813684034,0.08915321530305614,0,1,"Jones, Robert F.",Slade's glacier,chirandom | teamred
23075,1989,1989,0,1989,f,us,11.472662593607081,0.6952757214156161,1,1,"Dunlap, Susan,",Pious deception,chirandom | teamred | stew | chimyst
21104,1959,1973,1909,1959,m,us,11.810909465905297,0.9203011968682253,1,1,"Himes, Chester B.",The crazy kill,hardboiled | chirandom | teamred | chimyst
nnc1.cu01664417,1900,1917,1869,1900,m,us,14.38580552918027,0.16716499396192766,0,1,"Tarkington, Booth,",Monsieur Beaucaire,random | teamblack
20233,1956,1956,1907,1956,m,us,11.42250088597779,0.490531742240988,0,1,"Heinlein, Robert A.",Double star,chirandom | teamred | chiscifi
uiuo.ark+=13960=t58d0ds3h,1868,1868,0,1868,m,uk,14.064689314289812,0.11543362393731409,0,1,"Knight, Legh.",Tonic bitters,random | teamred
uiuo.ark+=13960=t1qf99m3q,1875,1875,1831,1875,m,uk,15.054770320292524,0.25809109172304423,0,1,"Mason, Charles Welsh.","The rape of the gamp; or,",random | teamblack
mdp.39015000613680,1914,1914,1868,1914,m,uk,13.225026234995715,0.9261864099768685,1,1,"Bramah, Ernest,",Max Carrados,teamblack | det100
nyp.33433076081649,1916,1916,1889,1916,f,us,17.910650500862886,0.029060542531212707,0,1,"Sherwood, Margaret Polloc",The worn doorstep,random | teamblack
20794,1968,1968,1927,1968,f,us,12.53329502967638,0.7457229102809563,0,1,"Peters, Elizabeth,",The jackal's head,chirandom | teamblack
11575,1938,1938,1906,1938,f,nz,15.194256101470458,0.04193278714324406,0,1,"Hyde, Robin,",The godwits fly,chirandom | teamred
uc2.ark+=13960=t45q4tp5h,1903,1905,1859,1903,m,other,13.541595661515736,0.9726996257595123,1,1,"Doyle, Arthur Conan,",The return of Sherlock Ho,locdetmyst | teamblack
10086,1930,1930,1862,1930,m,us,13.65525017629752,0.1083761220585269,0,1,"Stratemeyer, Edward,",With Taylor on the Rio Gr,chirandom | teamblack
20151,1954,1954,1912,1954,m,us,11.179102222905447,0.059675689053208046,0,1,"Manfred, Frederick Feikem",Lord Grizzly,chirandom | teamred
PoeMysteryMarieRoget1842,1842,1842,1809,1842,m,us,17.116156328524006,0.9604367800199972,1,1,"Poe, Edgar Allan,",The Mystery of Marie Roget (short story),teamred | stew | det100
21501,1978,1978,1945,1978,m,us,11.212617778447985,0.26472131062245446,0,1,"Brown, Wesley,",Tragic magic,chirandom | teamred
10723,1943,1943,0,1943,m,us,12.564855112154246,0.881877909841119,1,1,"Queen, Ellery,",There was an old woman,stew | cozy | chimyst | det100 | teamred
nyp.33433081593646,1905,1905,1864,1905,m,uk,12.279899826699213,0.9698526314921047,1,1,"Pain, Barry,",The memoirs of Constantin,teamblack | stew | det100
nyp.33433075843544,1892,1892,1833,1892,m,fr,16.58579126396519,0.09491562454445981,0,1,"Theuriet, Andr?,",A young man of the period,random | teamred
